summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
when translating webpages using google translator it makes a loop in the translator bar at the top/        ,Firefox,General        ,2022-10-10    ,translating webpage using google translator make loop translator bar top ,0,"page, bar",bar,bar
the mouse wheel stop controlling the scroll bars after a visiting a particular website with javascript        ,Firefox,General        ,2022-10-10    ,mouse wheel stop controlling scroll bar visiting particular website javascript ,0,bar,bar,bar
italicize text in search toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,italicize text search toolbar ,0,"bar, search",bar,bar
"the toolbar is all los angeles times bookmarks, and drop bars, i can't edit it, if i try adding anything else to the toolbar it becomes los angeles times        ",Firefox,Toolbars and Customi        ,2022-10-10    ,toolbar los angeles time bookmark drop bar cant edit try adding anything else toolbar becomes los angeles time ,0,"add, bookmark, bar",bar,bar
icons and folders in bookmarks toolbar disappear and appear after several reboots        ,Firefox,Toolbars and Customi        ,2022-10-10    ,icon folder bookmark toolbar disappear appear several reboots ,0,"bookmark, bar",bar,bar
trunk minefield toolbar horizontal separator broken sometime between 09/01 and 09/07 builds        ,Firefox,Toolbars and Customi        ,2022-10-10    ,trunk minefield toolbar horizontal separator broken sometime 0901 0907 build ,0,bar,bar,bar
texts in all toolbars aren't anti-aliased.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,text toolbars arent antialiased ,0,bar,bar,bar
clicking history in the mneu bar does not work the first time        ,Firefox,Menus        ,2022-10-10    ,clicking history mneu bar work first time ,0,"bar, work",bar,bar
mouse-wheel scrolling over zoom toolbar icon should zoom in/out        ,Firefox,Toolbars and Customi        ,2022-10-10    ,mousewheel scrolling zoom toolbar icon zoom inout ,0,bar,bar,bar
the new tool bar background image is very annoying.        ,Firefox,General        ,2022-10-10    ,new tool bar background image annoying ,0,bar,bar,bar
"the ""bookmarks toolbar"" option from the customize panel is offset in full screen mode        ",Firefox,Toolbars and Customi        ,2022-10-11    ,bookmark toolbar option customize panel offset full screen mode ,0,"bookmark, bar, option","bar, screen",bar
firefox address bar does not trigger virtual keyboard with touch screen on linux        ,Core,Widget: Gtk        ,2022-10-11    ,firefox address bar trigger virtual keyboard touch screen linux ,0,"add, bar","bar, screen",bar
customization of toolbars is not saved when exiting firefox        ,Firefox,Toolbars and Customi        ,2022-10-10    ,customization toolbars saved exiting firefox ,0,bar,bar,bar
bookmarks toolbar doesn't resize correctly when adding bookmarks        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar doesnt resize correctly adding bookmark ,0,"add, bookmark, bar","bar, size",bar
[ux] improve customization experience by allowing url bar items (page actions and others) to be managed from within customize mode        ,Firefox,Toolbars and Customi        ,2022-10-17    ,ux improve customization experience allowing url bar item page action others managed within customize mode ,0,"page, bar",bar,bar
"the ""search bar"" is not focused after you drag a link into it        ",Firefox,New Tab Page        ,2022-10-11    ,search bar focused drag link ,0,"bar, search",bar,bar
review usage of notification bars        ,Firefox,General        ,2022-10-11    ,review usage notification bar ,0,bar,bar,bar
scrolling with trackpad down a page with apple's fancy javascript scroll bars breaks scroll behavior        ,Firefox,General        ,2022-10-10    ,scrolling trackpad page apple fancy javascript scroll bar break scroll behavior ,0,"page, bar",bar,bar
cannot drag item pinned to overflow into part of valid toolbar space        ,Firefox,Toolbars and Customi        ,2022-10-11    ,cannot drag item pinned overflow part valid toolbar space ,0,bar,bar,bar
"after firefox release installed, shortcut to beta created in windows taskbar        ",Firefox,Installer        ,2022-10-11    ,firefox release installed shortcut beta created window taskbar ,1,bar,"window, bar",bar
be able to have thumbnail previews in bookmark bar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,able thumbnail preview bookmark bar ,0,"bookmark, bar",bar,bar
sidebar heading text has 1 pixel white shadow        ,Firefox,Theme        ,2022-10-11    ,sidebar heading text 1 pixel white shadow ,0,bar,bar,bar
add a pref to display a negative indicator in the url bar for mixed content sites        ,Firefox,Site Identity        ,2022-10-11    ,add pref display negative indicator url bar mixed content site ,0,"add, bar",bar,bar
make search bar preferences illustrations clickable        ,Firefox,Settings UI        ,2022-10-11    ,make search bar preference illustration clickable ,0,"bar, search",bar,bar
unresponsive firefox after input in the address bar/search        ,External Software Af,Other        ,2022-10-11    ,unresponsive firefox input address barsearch ,0,"add, bar, search",bar,bar
"download progress is shown in firefox's first windows taskbar entry, even if there are multiple firefox windows        ",Core,Widget: Win32        ,2022-11-04    ,download progress shown firefoxs first window taskbar entry even multiple firefox window ,1,"bar, show","window, bar",bar
"pdf re-renders on hide/show toolbars, causing flickering (ipad only)        ",Firefox for iOS,General        ,2022-10-11    ,pdf rerenders hideshow toolbars causing flickering ipad ,0,"bar, show",bar,bar
auto-fill the (unused portion of the) bookmarks toolbar with frecently used websites        ,Firefox,Toolbars and Customi        ,2022-10-10    ,autofill unused portion bookmark toolbar frecently used website ,0,"bookmark, bar",bar,bar
favicon from last visited page remains active for new visited page with no favicon associated in windows taskbar        ,Firefox,General        ,2022-10-10    ,favicon last visited page remains active new visited page favicon associated window taskbar ,1,"page, bar","window, bar",bar
the snack bar is not visible when the keyboard is displayed        ,Firefox for iOS,General        ,2022-10-11    ,snack bar visible keyboard displayed ,0,bar,bar,bar
don't show the refresh bar for a new profile        ,Firefox,Migration        ,2022-10-11    ,dont show refresh bar new profile ,0,"file, bar, show",bar,bar
firefox layout-win10 taskbar paint issue        ,Core,Graphics        ,2022-10-11    ,firefox layoutwin10 taskbar paint issue ,0,bar,"10, bar",bar
search bar box shadow does not look correct on different zoom levels        ,Firefox,New Tab Page        ,2022-10-11    ,search bar box shadow look correct different zoom level ,0,"bar, search",bar,bar
fullscreen: address bar speed problems        ,Firefox,Toolbars and Customi        ,2022-10-10    ,fullscreen address bar speed problem ,0,"add, bar","bar, screen",bar
missing flashing insertion bar        ,Firefox,General        ,2022-10-10    ,missing flashing insertion bar ,0,bar,bar,bar
window doesn't restore to maximized after minimizing to superbar        ,Firefox,General        ,2022-10-10    ,window doesnt restore maximized minimizing superbar ,1,bar,"window, bar",bar
the caret is incorrectly displayed when deleting text in search bar        ,Firefox for iOS,General        ,2022-10-11    ,caret incorrectly displayed deleting text search bar ,0,"bar, search",bar,bar
f6 jump to url bar doesn't work with 2 or more instances of firefox        ,Firefox,Keyboard Navigation        ,2022-10-10    ,f6 jump url bar doesnt work 2 instance firefox ,0,"bar, work",bar,bar
keys used previously in quick find bar don't generate dom keydown events        ,Firefox,General        ,2022-10-10    ,key used previously quick find bar dont generate dom keydown event ,0,bar,bar,bar
address bar does not remember position        ,Firefox,Settings UI        ,2022-10-10    ,address bar remember position ,0,"add, bar",bar,bar
the text is not visible when typing in google images search bar when using night mode on ipads        ,Firefox for iOS,General        ,2022-10-11    ,text visible typing google image search bar using night mode ipads ,0,"bar, search",bar,bar
make long url's in the url bar scrollable        ,Firefox for iOS,General        ,2022-10-11    ,make long url url bar scrollable ,0,bar,bar,bar
in 'bookmarks toolbar' created and moved folder don't show bookmarks moved in it        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark toolbar created moved folder dont show bookmark moved ,0,"bookmark, bar, show",bar,bar
too many icons in nav toolbar using icons and text mode causes browser to extend maximized mode offscreen        ,Firefox,General        ,2022-10-10    ,many icon nav toolbar using icon text mode cause browser extend maximized mode offscreen ,0,bar,"bar, screen, browser",bar
urlbar suggestions don't show some history items (no way to get rid of autofill by deleting suggestions)        ,Firefox,Bookmarks & History        ,2022-10-11    ,urlbar suggestion dont show history item way get rid autofill deleting suggestion ,0,"bar, show",bar,bar
urlbar deletes all typed text when page finishes loading (and suggestions are irrelevant to the string in urlbar)        ,Firefox,Address Bar        ,2020-07-24    ,urlbar deletes typed text page finish loading suggestion irrelevant string urlbar ,0,"page, bar",bar,bar
searchbar shows suggestions even if i no longer interact with it (when it gains focus)        ,Firefox,Search        ,2022-10-11    ,searchbar show suggestion even longer interact gain focus ,0,"bar, show, search",bar,bar
the pin promo is still displayed in a private window if a user chooses to pin a shortcut to the taskbar from the existing users onboarding modals        ,Firefox,Messaging System        ,Mon 09:47    ,pin promo still displayed private window user chooses pin shortcut taskbar existing user onboarding modal ,1,bar,"window, private, bar",bar
build the static infobar for about:privatebrowsing        ,Firefox,Messaging System        ,2021-09-14    ,build static infobar aboutprivatebrowsing ,0,bar,"private, bar",bar
firefox title bar has wrong margins and height on ubuntu        ,Core,Widget: Gtk        ,2021-06-11    ,firefox title bar wrong margin height ubuntu ,0,bar,bar,bar
about:config: add option to hide scrollbars        ,Firefox,Settings UI        ,2020-11-21    ,aboutconfig add option hide scrollbars ,0,"add, bar, option",bar,bar
therabreath site navbar blinks on scrolling on firefox nightly        ,Core,Graphics        ,2021-04-08    ,therabreath site navbar blink scrolling firefox nightly ,0,bar,bar,bar
